Shruti_Cod,Catalog_Nu,Species,Year,County,Institutio,SVL,Lifestage,logZE,ZE+1,Zswab_scor,Bioregion,Decimal_La,Decimal_Lo,Decade,Elevation,Disease_St,Coordinate,Collector,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Built2009,crop2005,Lights2009,NavWat2009,Pastur2009,Popden2009,Railways,Roads,HFP2009,HFP2009_in,amph_rich,lakepond,swampmarsh,IceMass,Playa,streamperr,streaminte,coastline,artificial,pipeline,canalditch,connector,elev_m,ai_yr,pet_yr,aet_yr
446.000000,144.000000,Taricha granulosa,1893.000000,San Mateo,CAS,55.690000,Terrestrial,0,1,0.000000,Central Coast,37.385278,-122.373056,1890.000000,72.700000,0.000000,0.000000,,129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132000000,0,5,0,1.33947000000,7.00079000000,7,14.00000000000,3188.18000000000,17475.00000000000,275372.00000000000,154939.00000000000,19.79270000000,2432.29000000000,3360.50000000000,11661.60000000000,11783.90000000000,16542.40000000000,12064.80000000000,75,6913,998,555
447.000000,145.000000,Taricha granulosa,1893.000000,San Mateo,CAS,59.940000,Terrestrial,0,1,0.000000,Central Coast,37.385278,-122.373056,1890.000000,72.700000,0.000000,0.000000,,129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132000000,0,5,0,1.33947000000,7.00079000000,7,14.00000000000,3188.18000000000,17475.00000000000,275372.00000000000,154939.00000000000,19.79270000000,2432.29000000000,3360.50000000000,11661.60000000000,11783.90000000000,16542.40000000000,12064.80000000000,75,6913,998,555
448.000000,148.000000,Taricha granulosa,1893.000000,San Mateo,CAS,37.400000,Terrestrial,0,1,0.000000,Central Coast,37.385278,-122.373056,1890.000000,72.700000,0.000000,0.000000,,129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132000000,0,5,0,1.33947000000,7.00079000000,7,14.00000000000,3188.18000000000,17475.00000000000,275372.00000000000,154939.00000000000,19.79270000000,2432.29000000000,3360.50000000000,11661.60000000000,11783.90000000000,16542.40000000000,12064.80000000000,75,6913,998,555
449.000000,149.000000,Taricha granulosa,1893.000000,San Mateo,CAS,50.870000,Terrestrial,0,1,0.000000,Central Coast,37.385278,-122.373056,1890.000000,72.700000,0.000000,0.000000,,129,102,58,2540,219,46,173,98,158,162,98,689,135,2,85,349,11,15,349,0,0,0,0.66132000000,0,5,0,1.33947000000,7.00079000000,7,14.00000000000,3188.18000000000,17475.00000000000,275372.00000000000,154939.00000000000,19.79270000000,2432.29000000000,3360.50000000000,11661.60000000000,11783.90000000000,16542.40000000000,12064.80000000000,75,6913,998,555
459.000000,202.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,57.260000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,0.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
460.000000,203.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,63.670000,Aquatic,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
461.000000,204.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,59.560000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
462.000000,205.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,63.000000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
463.000000,207.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,63.280000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
464.000000,208.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,64.740000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
465.000000,213.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,55.260000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
466.000000,215.000000,Taricha granulosa,1893.000000,Santa Clara,CAS,65.330000,Terrestrial,0,1,0.000000,Central Coast,37.365489,-122.117050,1890.000000,81.500000,0.000000,6047.000000,,144,119,55,3609,255,40,215,97,186,189,97,515,106,2,88,273,7,11,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,15.00000000000,5074.30000000000,7850.39000000000,253411.00000000000,133114.00000000000,4920.76000000000,74.49970000000,8336.67000000000,6516.89000000000,4004.18000000000,7850.39000000000,13210.50000000000,83,4501,1153,441
290.000000,806.000000,Taricha granulosa,1894.000000,Napa,CAS,50.970000,Terrestrial,0,1,0.000000,Central Coast,38.578172,-122.631453,1890.000000,345.000000,0.000000,2308.000000,G.B. Culver,140,155,52,5032,313,16,297,79,204,204,79,1091,237,2,92,604,11,20,604,0,0,3,0.00000000000,0,6,0,1.33947000000,10.33950000000,10,16.00000000000,658.48100000000,48225.40000000000,267580.00000000000,137176.00000000000,2293.68000000000,721.72200000000,44764.30000000000,667.33800000000,53902.10000000000,17666.20000000000,9957.29000000000,345,8160,1337,630
437.000000,835.000000,Taricha granulosa,1894.000000,Napa,CAS,65.870000,Aquatic,0,1,0.000000,Central Coast,38.578889,-122.578611,1890.000000,108.000000,0.000000,0.000000,C.H. Gilbert,147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0.00000000000,0,6,8,8.00000000000,40.00000000000,40,15.00000000000,1756.04000000000,45939.40000000000,268070.00000000000,135625.00000000000,172.69800000000,834.32000000000,47988.30000000000,4735.27000000000,51044.30000000000,17044.30000000000,12908.10000000000,108,6805,1371,621
438.000000,836.000000,Taricha granulosa,1894.000000,Napa,CAS,75.010000,Aquatic,0,1,0.000000,Central Coast,38.578889,-122.578611,1890.000000,108.000000,0.000000,0.000000,C.H. Gilbert,147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0.00000000000,0,6,8,8.00000000000,40.00000000000,40,15.00000000000,1756.04000000000,45939.40000000000,268070.00000000000,135625.00000000000,172.69800000000,834.32000000000,47988.30000000000,4735.27000000000,51044.30000000000,17044.30000000000,12908.10000000000,108,6805,1371,621
439.000000,837.000000,Taricha granulosa,1894.000000,Napa,CAS,55.770000,Aquatic,0,1,0.000000,Central Coast,38.578889,-122.578611,1890.000000,108.000000,0.000000,0.000000,C.H. Gilbert,147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0.00000000000,0,6,8,8.00000000000,40.00000000000,40,15.00000000000,1756.04000000000,45939.40000000000,268070.00000000000,135625.00000000000,172.69800000000,834.32000000000,47988.30000000000,4735.27000000000,51044.30000000000,17044.30000000000,12908.10000000000,108,6805,1371,621
440.000000,838.000000,Taricha granulosa,1894.000000,Napa,CAS,59.240000,Aquatic,0,1,0.000000,Central Coast,38.578889,-122.578611,1890.000000,108.000000,0.000000,0.000000,C.H. Gilbert,147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0.00000000000,0,6,8,8.00000000000,40.00000000000,40,15.00000000000,1756.04000000000,45939.40000000000,268070.00000000000,135625.00000000000,172.69800000000,834.32000000000,47988.30000000000,4735.27000000000,51044.30000000000,17044.30000000000,12908.10000000000,108,6805,1371,621
441.000000,839.000000,Taricha granulosa,1894.000000,Napa,CAS,65.890000,Aquatic,0,1,0.000000,Central Coast,38.578889,-122.578611,1890.000000,108.000000,0.000000,0.000000,C.H. Gilbert,147,158,53,4896,314,20,294,86,207,208,86,932,198,2,91,518,11,17,518,10,0,8,0.00000000000,0,6,8,8.00000000000,40.00000000000,40,15.00000000000,1756.04000000000,45939.40000000000,268070.00000000000,135625.00000000000,172.69800000000,834.32000000000,47988.30000000000,4735.27000000000,51044.30000000000,17044.30000000000,12908.10000000000,108,6805,1371,621
543.000000,832.000000,Taricha torosa,1894.000000,Napa,CAS,59.120000,Terrestrial,0,1,0.000000,Central Coast,38.669397,-122.632178,1890.000000,1306.400000,0.000000,2023.000000,C.H. Gilbert,106,129,47,5084,271,0,271,59,173,176,53,1242,241,3,85,647,19,31,605,0,0,0,0.00000000000,0,3,0,0.85249800000,3.85250000000,3,15.00000000000,3353.94000000000,56937.80000000000,257516.00000000000,127704.00000000000,1065.76000000000,331.73000000000,49635.00000000000,3353.94000000000,61905.60000000000,20269.00000000000,19415.90000000000,1304,11171,1101,606
549.000000,886.000000,Taricha torosa,1894.000000,Los Angeles,CAS,60.970000,Aquatic,0,1,0.000000,Desert,34.147778,-118.143611,1890.000000,263.900000,0.000000,0.000000,Wilbur,178,139,53,4176,317,58,259,133,228,236,129,490,106,1,96,298,7,16,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,16.00000000000,4095.63000000000,53211.70000000000,317533.00000000000,71708.60000000000,7005.71000000000,1951.90000000000,33173.50000000000,5108.11000000000,1519.10000000000,9530.06000000000,12585.80000000000,272,3472,1417,416
550.000000,887.000000,Taricha torosa,1894.000000,Los Angeles,CAS,59.040000,Aquatic,0,1,0.000000,Desert,34.147778,-118.143611,1890.000000,263.900000,0.000000,0.000000,Wilbur,178,139,53,4176,317,58,259,133,228,236,129,490,106,1,96,298,7,16,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,16.00000000000,4095.63000000000,53211.70000000000,317533.00000000000,71708.60000000000,7005.71000000000,1951.90000000000,33173.50000000000,5108.11000000000,1519.10000000000,9530.06000000000,12585.80000000000,272,3472,1417,416
589.000000,27283.000000,Taricha torosa,1894.000000,San Diego,CAS,62.510000,Aquatic,0,1,0.000000,Desert,32.715278,-117.156389,1890.000000,20.100000,0.000000,0.000000,O.N. Sanford,173,85,50,2957,254,85,169,140,206,214,137,262,57,1,95,159,4,7,138,10,0,10,0.13151900000,0,10,8,8.00000000000,46.13150000000,46,12.00000000000,6375.81000000000,12611.50000000000,489105.00000000000,78489.00000000000,4020.70000000000,1111.79000000000,1238.07000000000,6591.48000000000,13466.50000000000,11714.40000000000,6520.24000000000,26,2483,1059,231
102.000000,1042.000000,Taricha granulosa,1895.000000,Mendocino,CAS,36.740000,Terrestrial,0,1,0.000000,Klamath,39.008575,-123.290231,1890.000000,569.400000,0.000000,6438.000000,G.B. Culver,122,147,53,4498,283,8,275,74,180,182,70,1208,239,2,87,641,15,28,630,0,0,0,0.00000000000,1,3,0,2.72822000000,6.72822000000,6,18.00000000000,8867.95000000000,121137.00000000000,219369.00000000000,130152.00000000000,349.07100000000,2229.82000000000,33729.00000000000,8867.95000000000,41637.70000000000,32619.90000000000,1698.51000000000,570,9950,1212,640
103.000000,1044.000000,Taricha granulosa,1895.000000,Mendocino,CAS,38.460000,Terrestrial,0,1,0.000000,Klamath,39.008575,-123.290231,1890.000000,569.400000,0.000000,6438.000000,G.B. Culver,122,147,53,4498,283,8,275,74,180,182,70,1208,239,2,87,641,15,28,630,0,0,0,0.00000000000,1,3,0,2.72822000000,6.72822000000,6,18.00000000000,8867.95000000000,121137.00000000000,219369.00000000000,130152.00000000000,349.07100000000,2229.82000000000,33729.00000000000,8867.95000000000,41637.70000000000,32619.90000000000,1698.51000000000,570,9950,1212,640
577.000000,1038.000000,Taricha torosa,1895.000000,Los Angeles,CAS,60.610000,Aquatic,0,1,0.000000,Desert,34.147778,-118.143611,1890.000000,263.900000,0.000000,0.000000,W.R. Doane,178,139,53,4176,317,58,259,133,228,236,129,490,106,1,96,298,7,16,273,10,0,10,0.00000000000,0,10,0,8.00000000000,38.00000000000,38,16.00000000000,4095.63000000000,53211.70000000000,317533.00000000000,71708.60000000000,7005.71000000000,1951.90000000000,33173.50000000000,5108.11000000000,1519.10000000000,9530.06000000000,12585.80000000000,272,3472,1417,416
633.000000,1036.000000,Taricha sierrae,1895.000000,Mariposa,CAS,64.840000,Terrestrial,0,1,0.000000,Sierra,37.725556,-119.703333,1890.000000,1307.100000,0.000000,0.000000,W.R. Doane,100,147,45,6301,288,-33,321,35,184,185,28,971,171,5,78,474,28,35,471,0,0,0,0.00000000000,0,1,0,8.00000000000,9.00000000000,9,9.00000000000,13734.30000000000,74768.80000000000,36574.20000000000,82261.90000000000,474.78900000000,788.11300000000,187099.00000000000,13734.30000000000,27728.50000000000,50466.20000000000,25708.20000000000,1322,8475,1148,616
